step,action,shares,price,cost,revenue
30,BUY,34,276.9175720214844,9424.612646179197,
31,BUY,1,277.5637512207031,277.8413149719238,
33,BUY,1,280.15838623046875,280.4385446166992,
324,SELL,36,427.88232421875,,15388.359908203125
325,BUY,33,436.1694641113281,14407.9859079895,
326,BUY,2,436.68365478515625,874.2406768798827,
340,SELL,35,462.3756103515625,,16166.963215942384
343,BUY,33,461.0801086425781,15230.859228790281,
344,BUY,2,449.6581726074219,900.2156615600585,
461,SELL,35,434.9018249511719,,15206.342309417725
462,BUY,34,427.3773193359375,14545.359686279295,
